2800,0.0161,0,89.485,759.98,755.5
2800,0.0161,0.015377,89.486,759.98,755.5
2800,0.016106,0.058128,89.489,759.98,755.5
2800,0.016118,0.09558,89.493,759.98,755.5
2800,0.016138,0.12999,89.496,759.98,755.5
2800,0.016169,0.1651,89.501,759.98,755.5
2800,0.016208,0.19588,89.505,759.98,755.5
2800,0.016256,0.22511,89.509,759.98,755.5
2800,0.016317,0.25357,89.514,759.98,755.5
2800,0.016385,0.27855,89.519,759.98,755.5
2800,0.016469,0.30315,89.525,759.98,755.5
2800,0.016566,0.32623,89.531,759.98,755.5
2800,0.016671,0.34652,89.537,759.98,755.5
2800,0.016799,0.3672,89.544,759.98,755.5
2800,0.016939,0.38593,89.551,759.98,755.5
2800,0.017085,0.40242,89.559,759.98,755.5
2800,0.017269,0.41979,89.567,759.98,755.5
2800,0.01746,0.43498,89.576,759.98,755.5
2800,0.017665,0.44889,89.585,759.98,755.5
2800,0.017909,0.46296,89.595,759.98,755.5
2800,0.01816,0.4753,89.606,759.98,755.5
2800,0.018438,0.48702,89.617,759.98,755.5
2800,0.018754,0.49843,89.629,759.98,755.5
2800,0.019103,0.5092,89.643,759.98,755.5
2800,0.019499,0.51962,89.657,759.98,755.5
2800,0.019956,0.52984,89.674,759.98,755.5
2800,0.020458,0.53934,89.692,759.98,755.5
2800,0.021072,0.54913,89.714,759.98,755.49
2800,0.021751,0.55814,89.737,759.98,755.49
2800,0.022521,0.56666,89.763,759.98,755.49
2800,0.023443,0.57511,89.794,759.98,755.49
2800,0.024492,0.58299,89.828,759.98,755.49
2800,0.025674,0.59025,89.867,759.97,755.49
2800,0.027129,0.5975,89.913,759.97,755.49
2800,0.028797,0.60416,89.965,759.97,755.49
2800,0.030761,0.61041,90.025,759.97,755.48
2800,0.033054,0.61618,90.094,759.97,755.48
2800,0.035735,0.62148,90.174,759.96,755.48
2800,0.03903,0.62654,90.271,759.96,755.48
2800,0.042952,0.63116,90.384,759.96,755.47
2800,0.047691,0.63539,90.518,759.95,755.47
2800,0.053424,0.63922,90.676,759.95,755.46
2800,0.060402,0.64269,90.865,759.94,755.45
2800,0.068957,0.64579,91.089,759.93,755.44
2800,0.079998,0.64867,91.367,759.92,755.43
2800.1,0.093881,0.65122,91.701,759.91,755.42
2800.1,0.11311,0.65362,92.129,759.89,755.39
2800.1,0.13351,0.65536,92.54,759.87,755.37
2800.1,0.1521,0.65653,92.874,759.85,755.34
2800.1,0.16898,0.65737,93.142,759.83,755.32
2800.1,0.18426,0.658,93.356,759.82,755.29
2800.2,0.19803,0.65849,93.525,759.8,755.27
2800.2,0.21039,0.65888,93.658,759.79,755.25
2800.2,0.22142,0.6592,93.762,759.78,755.23
2800.2,0.23196,0.65949,93.85,759.77,755.21
2800.2,0.24212,0.65975,93.924,759.76,755.18
2800.3,0.25075,0.65998,93.98,759.75,755.16
2800.3,0.25881,0.66019,94.028,759.74,755.14
2800.3,0.26567,0.66038,94.067,759.73,755.11
2800.3,0.27084,0.66054,94.097,759.73,755.09
2800.4,0.27508,0.6607,94.125,759.72,755.06
2800.4,0.27753,0.66085,94.151,759.72,755.04
2800.5,0.27799,0.66098,94.177,759.72,755.01
2800.5,0.27642,0.6611,94.2,759.72,754.98
2800.5,0.27234,0.66122,94.227,759.73,754.96
2800.6,0.26632,0.66131,94.254,759.73,754.93
2800.6,0.2588,0.6614,94.279,759.74,754.91
2800.7,0.25014,0.66147,94.304,759.75,754.89
2800.7,0.24065,0.66154,94.329,759.76,754.87
2800.8,0.23058,0.66161,94.352,759.77,754.85
2800.8,0.22014,0.66169,94.373,759.78,754.83
2800.9,0.20951,0.66176,94.394,759.79,754.82
2800.9,0.19884,0.66183,94.413,759.8,754.81
2801,0.18823,0.6619,94.43,759.81,754.79
2801,0.17779,0.66197,94.446,759.82,754.78
2801.1,0.16758,0.66205,94.46,759.83,754.77
2801.1,0.16243,0.66208,94.467,759.84,754.77
2801.1,0.16102,0.62967,94.469,759.84,754.77
2801.1,0.15633,0.55611,94.472,759.84,754.77
2801.1,0.14969,0.49114,94.475,759.85,754.77
2801.1,0.14145,0.43377,94.478,759.86,754.77
2801.1,0.13193,0.3831,94.481,759.87,754.78
2801.2,0.12006,0.33331,94.484,759.88,754.79
2801.2,0.10628,0.2871,94.487,759.89,754.8
2801.2,0.091739,0.2473,94.489,759.91,754.81
2801.2,0.076713,0.21302,94.491,759.92,754.82
2801.2,0.059519,0.18011,94.493,759.94,754.83
2801.2,0.041003,0.15039,94.494,759.96,754.85
2801.3,0.022695,0.12558,94.494,759.98,754.87
2801.3,0.0040464,0.10406,94.494,760,754.88
2801.3,-0.0011199,0.098674,94.493,760,754.89
2801.3,-0.01256,0.087533,94.492,760.01,754.9
2801.3,-0.0279,0.074146,94.49,760.03,754.92
2801.3,-0.042588,0.062807,94.487,760.04,754.93
2801.3,-0.056577,0.053202,94.484,760.06,754.95
2801.4,-0.069834,0.045066,94.481,760.07,754.97
2801.4,-0.08234,0.038174,94.477,760.08,754.98
2801.4,-0.094087,0.032336,94.474,760.09,755
2801.4,-0.10508,0.027391,94.47,760.11,755.01
2801.4,-0.11531,0.023202,94.466,760.12,755.03
2801.4,-0.12481,0.019653,94.462,760.12,755.04
2801.5,-0.13359,0.016648,94.458,760.13,755.06
2801.5,-0.14166,0.014102,94.453,760.14,755.07
2801.5,-0.14906,0.011945,94.449,760.15,755.08
2801.5,-0.1558,0.010118,94.445,760.16,755.1
2801.5,-0.16191,0.008571,94.44,760.16,755.11
